City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,igarka,67.4667,86.5833,77.11,57,1,9.35,RU,2023-07-27
127,aleksandrovsk-sakhalinskiy,50.8975,142.1561,67.44,84,93,4.09,RU,2023-07-27
128,luderitz,-26.6481,15.1594,54.01,67,0,7.05,NA,2023-07-27
129,newman,37.3138,-121.0208,83.59,37,0,1.01,US,2023-07-27
130,saint-philippe,-21.3585,55.7679,65.79,79,63,11.52,RE,2023-07-27
131,saldanha,-33.0117,17.9442,51.85,89,97,10.49,ZA,2023-07-27
132,naze,28.3667,129.4833,77.92,81,100,14.85,JP,2023-07-27
133,tara,56.8944,74.371,71.78,63,66,4.88,RU,2023-07-27
134,hamilton,39.1834,-84.5333,81.68,74,0,17.27,US,2023-07-27
135,archidona,37.0965,-4.3887,66.96,84,0,2.44,ES,2023-07-27
136,houlton,46.1262,-67.8403,72.68,72,100,6.91,US,2023-07-27
137,sinabang,2.4803,96.3801,84.13,71,79,3.15,ID,2023-07-27
138,bac kan,22.1333,105.8333,95.45,51,91,2.75,VN,2023-07-27
139,yokadouma,3.5167,15.05,68.92,99,99,0.81,CM,2023-07-27
140,nemuro,43.3236,145.575,68.41,88,100,9.17,JP,2023-07-27
141,castillos,-34.1667,-53.8333,48.2,84,0,12.39,UY,2023-07-27
142,as sulayyil,20.4607,45.5779,84.45,11,73,8.1,SA,2023-07-27
143,talnakh,69.4865,88.3972,79.21,45,52,5.61,RU,2023-07-27
144,saint-pierre,-21.3393,55.4781,65.88,82,75,6.91,RE,2023-07-27
145,fuli,46.7217,131.1394,88.09,54,98,12.39,CN,2023-07-27
146,claremont,34.0967,-117.7198,83.97,37,0,10.36,US,2023-07-27
147,ha'il,27.5219,41.6907,77.02,22,0,4.61,SA,2023-07-27
148,north ward,-19.2454,146.8075,73.31,68,20,18.41,AU,2023-07-27
149,cidreira,-30.1811,-50.2056,57.4,84,40,13.02,BR,2023-07-27
150,jinka,5.65,36.65,64.09,76,94,2.71,ET,2023-07-27
151,ruayer,43.0537,-5.5502,54.81,74,0,3.83,ES,2023-07-27
152,port alfred,-33.5906,26.891,60.42,86,61,18.95,ZA,2023-07-27
153,portage la prairie,49.9728,-98.2926,73.85,53,14,4.0,CA,2023-07-27
154,praia da vitoria,38.7333,-27.0667,71.85,88,20,6.98,PT,2023-07-27
155,boguchany,58.3814,97.4531,78.57,49,66,5.61,RU,2023-07-27
156,rampachodavaram,17.45,81.7667,80.51,97,100,5.06,IN,2023-07-27
157,olyokminsk,60.3736,120.4264,87.04,38,12,9.22,RU,2023-07-27
158,swift current,50.2834,-107.8014,67.01,34,0,6.91,CA,2023-07-27
159,tiksi,71.6872,128.8694,45.61,73,48,6.51,RU,2023-07-27
160,temiskaming shores,47.4938,-79.7153,66.0,97,80,0.85,CA,2023-07-27
161,kolasin,42.8223,19.5165,52.16,98,66,5.95,ME,2023-07-27
162,tual,-5.6667,132.75,78.85,82,57,19.86,ID,2023-07-27
163,albany,42.6001,-73.9662,71.64,83,100,5.28,US,2023-07-27
